Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,,,,2023-03-12 12:01:17,2023-03-12 12:02:17,59.670s,PASSED
,,,,,,,
Test Cases/TC03_Drag and Drop,,,,2023-03-12 12:01:17,2023-03-12 12:01:48,30.539s,PASSED
"startApplication(""/Users/isfahani/Downloads/APIDemos.apk"", true)",,,,2023-03-12 12:01:17,2023-03-12 12:01:26,8.366s,PASSED
"scrollToText(""Views"")",,,,2023-03-12 12:01:26,2023-03-12 12:01:29,3.064s,PASSED
"tap(findTestObject(""Object Repository/Application/Views/android.widget.TextView - Views""), 0)",,,,2023-03-12 12:01:29,2023-03-12 12:01:30,1.267s,PASSED
"tap(findTestObject(""Object Repository/Application/Views/android.widget.TextView - Drag and Drop""), 0)",,,,2023-03-12 12:01:30,2023-03-12 12:01:31,0.892s,PASSED
"longPress(findTestObject(""Application/Views/android.view.View (1)""), 5)",,,,2023-03-12 12:01:31,2023-03-12 12:01:34,2.654s,PASSED
"verifyElementExist(findTestObject(""Application/Views/android.widget.TextView - No drop""), 5)",,,,2023-03-12 12:01:34,2023-03-12 12:01:40,5.874s,PASSED
"dragAndDrop(findTestObject(""Application/Views/android.view.View (1)""), findTestObject(""Application/Views/android.view.View (2)""), 5)",,,,2023-03-12 12:01:40,2023-03-12 12:01:46,6.758s,PASSED
"verifyElementExist(findTestObject(""Application/Views/android.widget.TextView - Dropped""), 5)",,,,2023-03-12 12:01:46,2023-03-12 12:01:47,0.672s,PASSED
closeApplication(),,,,2023-03-12 12:01:47,2023-03-12 12:01:48,0.739s,PASSED
,,,,,,,
Test Cases/TC02_SMS Messaging Failed,,,,2023-03-12 12:01:48,2023-03-12 12:02:03,15.474s,PASSED
"startApplication(""/Users/isfahani/Downloads/APIDemos.apk"", true)",,,,2023-03-12 12:01:48,2023-03-12 12:01:55,6.854s,PASSED
"tap(findTestObject(""Object Repository/Application/OS/android.widget.TextView - OS""), 0)",,,,2023-03-12 12:01:55,2023-03-12 12:01:56,1.222s,PASSED
"tap(findTestObject(""Object Repository/Application/OS/android.widget.TextView - SMS Messaging""), 0)",,,,2023-03-12 12:01:56,2023-03-12 12:01:57,0.894s,PASSED
"tap(findTestObject(""Object Repository/Application/OS/android.widget.Button - Send""), 0)",,,,2023-03-12 12:01:57,2023-03-12 12:01:57,0.159s,PASSED
driver = getDriver(),,,,2023-03-12 12:01:57,2023-03-12 12:01:57,0.000s,PASSED
"toast = driver.findElementByXPath(""//android.widget.Toast[@text='Please enter a message recipient.']"")",,,,2023-03-12 12:01:57,2023-03-12 12:01:58,0.569s,PASSED
"println(""Toast element: "" + toast)",,,,2023-03-12 12:01:58,2023-03-12 12:01:58,0.002s,PASSED
if (toast == null),,,,2023-03-12 12:01:58,2023-03-12 12:01:58,0.001s,PASSED
"verifyElementNotExist(findTestObject(""Application/OS/android.widget.TextView - Message sent""), 5)",,,,2023-03-12 12:01:58,2023-03-12 12:02:03,5.048s,PASSED
closeApplication(),,,,2023-03-12 12:02:03,2023-03-12 12:02:03,0.520s,PASSED
,,,,,,,
Test Cases/TC01_SMS Messaging Success,,,,2023-03-12 12:02:03,2023-03-12 12:02:17,13.456s,PASSED
"startApplication(""/Users/isfahani/Downloads/APIDemos.apk"", true)",,,,2023-03-12 12:02:03,2023-03-12 12:02:10,6.488s,PASSED
"tap(findTestObject(""Object Repository/Application/OS/android.widget.TextView - OS""), 0)",,,,2023-03-12 12:02:10,2023-03-12 12:02:12,1.741s,PASSED
"tap(findTestObject(""Object Repository/Application/OS/android.widget.TextView - SMS Messaging""), 0)",,,,2023-03-12 12:02:12,2023-03-12 12:02:13,1.079s,PASSED
"setText(findTestObject(""Object Repository/Application/OS/android.widget.EditText""), ""081238324285"", 0)",,,,2023-03-12 12:02:13,2023-03-12 12:02:13,0.673s,PASSED
"setText(findTestObject(""Object Repository/Application/OS/android.widget.EditText (1)""), ""Test SMS Messaging"", 0)",,,,2023-03-12 12:02:13,2023-03-12 12:02:14,1.105s,PASSED
"tap(findTestObject(""Object Repository/Application/OS/android.widget.Button - Send""), 0)",,,,2023-03-12 12:02:14,2023-03-12 12:02:15,0.602s,PASSED
"verifyElementText(findTestObject(""Object Repository/Application/OS/android.widget.TextView - Message sent""), ""Message sent!"")",,,,2023-03-12 12:02:15,2023-03-12 12:02:16,0.922s,PASSED
closeApplication(),,,,2023-03-12 12:02:16,2023-03-12 12:02:17,0.693s,PASSED
